courseCode,courseName,preeCode,pre,description,advice_review
ICMA106,Calculus1,ICMA100,Foundation Mathematics,"Brief review Of trigonometry; limits and continuity; differentiation and its techniques; derivatives of algebraic and trigonometric functions; graph sketching; applications of the derivatives; antiderivative and integration; area under a curve and between curves
","This course covers foundational calculus topics, including limits, continuity, and differentiation. Although several professors teach the course, all instructors follow the same curriculum. The material is similar to high school calculus but includes more topics and faster pacing. The content is not particularly difficult, but there is a substantial volume to learn. It is recommended to take this course early in your first year, as it serves as a prerequisite for many later courses."
ICMA213,Calculus2,ICMA106,Calculus1,Derivatives Of logarithmic and exponential functions; techniques Of integration; improper integrals and indeterminate forms; applications of the derivative and integration; infinite series; functions of several variables; limits end continuity; partial derivative,"The course quite fast, confusing, and there is a tons of lecture. You better find the way to study the course as soon as possible. My trick was to try to note as much as possible, then review the methods before the exam. It would be great if you could finished this course within your freshman year, since I will be prerequisites to many courses."
ICPY101,Physics1,None,None,"Measurement, units and dimensions; vectors, linear motion, Newton's law Of motion, rotational motion, energy, momentum, static equilibrium, fluid mechanics","In previous years, this course relied heavily on self-study. The instructor typically adds students to Canvas and expects them to study independently. Homework assignments and quizzes are frequent and make up the majority of your grade, so be sure to complete them on time. Attendance is not mandatory, but if you do attend, the instructor is available to answer questions and provide clarification. It's recommended to take this course in your first trimester, as it is required by many majors. Delaying it could cause scheduling issues or slow your progress."
ICPY102,Physics2,ICPY101,Physics1,"Oscillations and wave; light and sound; thermodynamics; electricity and magnetism; modern 
physics ","The content will be seperate into 3 parts including wave, thermodynamics, and electricity. At the end of each part will have an exam, each exam will have same score, which will add up more than 100. The instructor is quite chill and kind. Better attend the class, sometime he will hint what will be in the exam. Similar to calculus2, better take this course as soon as possible since it unlocks many other courses."
EGCI113,Fundamental Computer Programming,None,None,"Introduction to computer concepts, computer components, hardware and software, hardware and software interaction, and Electronic Data Processing (EDP) concepts; introduction to program design and implementation using a high-level language: types and expressions, iterative and conditional control statements, functions, Boolean logic, array","This will be your first programming course in the major. It teaches fundamental programming concepts using the C language. Try to attend and understand the course thoroughly, as programming is a core skill in this field of study. If you find it difficult to keep up, consider looking for supplementary content on YouTube or other platforms—there are many creators who provide explanations with visualizations that can make the material easier to understand. The course is taught by two different instructors who alternate each term, but there are no major differences in the course content between them."
EGCI201,Discrete Mathematics,None,None,"Basic set theory, mathematical reasoning, relations, functions, graphs, trees, an introduction to number theory ","This course focuses on the application of mathematical logic and proof techniques in areas such as number theory and graph theory. Although attendance is not checked, it is strongly recommended to attend classes, as the content can be quite challenging. If you struggle to keep up, consider using supplementary resources on YouTube or other platforms. Before both the midterm and final exams, the instructor typically assigns a homework set that reflects the exam content—there’s a good chance that some questions from the homework will appear on the actual exam."
EGCI211,Advance Computer Programming,EGCI113,Fundamental Computer Programming,"Programming techniques and concepts. Various techniques for Efficient Pointer; Structure; Sorting; Programming, Software-bug Prevention, Debugging, Testing, and Source-Code and version control; Scope/Lifespan of variables ","It is recommended to take this course right after Fundamental Computer Programming (EGCI113), as it continues with the C++ language. You may struggle with the new syntax at first, but if you have a solid foundation in programming, it will become easier over time. One key topic introduced in this course is pointers, which can be quite confusing. Make sure to understand this concept thoroughly—either through class explanations or external resources—as it will help you succeed in the rest of the course. Other key topics in the course would be OOP and basic of Data Structers and Algorithms."
EGCI230,Electric Circuit Analysis,ICPY102,Physics2,"Circuit elements; Kirchhofrs laws; resistive circuits; node and mesh analysis; Thevenin and Norton theorems; Op-amp, inductor and capacitor, first order and second order circuits; step responses; zero input and zerctate responses; DC transient and AC steady-state responses; elementary transfer functions; sinusoidal waveforms; phasor representations; impedance and admittance; sinusoidal analysis; Com power; frequency responses 
","This course is taught by two different instructors who alternate each term. Some students find Aj. Decha's class more difficult and intensive, with a fast pace and higher expectations. On the other hand, Aj. Konglit tends to go at a much slower pace, which some students appreciate for clarity, while others feel it can lead to a slow and less engaging experience. Your preference may depend on whether you thrive under pressure or prefer a more gradual learning pace."
EGCI232,Engineering Electronics,ICPY102,Physics2,"Introduction to solid-state electronics as circuit elements. i cludingdiodes, bipolar transistor, rectifier circuits, Zener diodes regulators, power supplies, power amplification, MOSFETS,  applications in operational amplifiers in various feedback configurations ","Although the official prerequisite is Physics 2 (ICPY102), it is strongly recommended to take Electric Circuit Analysis (EGCI230) first, as this course requires solid circuit analysis skills. The course is taught by two different instructors who alternate each term. Some students find Aj. Decha more challenging but also more practical and hands-on. Others prefer Aj. Somnida, whose teaching style is considered easier, though her course typically includes two midterm exams. Your experience may vary depending on your learning style and preference for exam structure versus practical depth."
EGCI305,Statistics for Research in Computer Engineering,ICMA213,Calculus2,The design of experiments; the collection and presentation of data; descriptive statistics; elementary probability and normal distributions; the estimation of parameters; hypothesis testing; the analysis of variance; regression and correlation; the analysis of frequencies and non-parametric methods,"This course provides an introduction to the field of data. The first half covers core statistical concepts such as Excel usage, probability, data distributions, hypothesis testing, and statistical inference. In the second half, you’ll work with Python libraries like pandas for data manipulation, along with topics such as data visualization, regression analysis, inference between two populations, and the concept of UCL (Upper Control Limit). The course transitions between theory and practical application, so be prepared to engage with both statistical reasoning and basic programming skills. Although the official prerequisite is Calculus 2 (ICMA213), it is recommended to take Engineering Mathematics for Signal and Systems (EGCI202) beforehand, as it provides helpful background in probability. However, it is still completely fine if you haven’t taken EGCI202 before."
